TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,ClusterKMeans
503.76,Debit,Los Angeles,Online,22,Student,35,1,447.82,2
143.03,Debit,San Antonio,ATM,63,Retired,147,1,7981.45,1
1045.22,Debit,Columbus,ATM,53,Retired,73,1,1829.9,4
245.54,Debit,New York,ATM,25,Student,180,1,985.06,2
254.37,Credit,Dallas,Online,51,Engineer,174,1,8849.26,3
213.76,Credit,Dallas,ATM,78,Retired,282,1,3528.72,0
327.86,Debit,Fresno,Online,40,Engineer,104,1,480.16,2
2.5,Debit,San Diego,Online,47,Doctor,107,1,12145.27,3
300.08,Credit,Austin,Online,68,Doctor,47,1,13546.75,3
56.98,Credit,Oklahoma City,ATM,43,Engineer,122,2,5688.37,1
407.65,Debit,Boston,Online,26,Engineer,62,1,8346.64,3
115.83,Debit,Fresno,Branch,39,Engineer,167,1,6481.04,0
53.57,Debit,Houston,ATM,69,Retired,121,1,1651.33,1
63.34,Credit,Detroit,Online,46,Doctor,165,1,11174.94,3
317.87,Debit,Detroit,Online,27,Student,91,1,145.5,2
331.65,Debit,Portland,Online,41,Engineer,61,1,4172.57,2
5.04,Debit,Washington,ATM,56,Retired,41,1,5558.36,1
214.54,Credit,Detroit,Online,70,Doctor,247,1,11151.53,0
598.81,Debit,Philadelphia,Branch,57,Doctor,158,1,1415.52,4
841.28,Debit,Tucson,Online,26,Student,80,1,1103.64,4
38.15,Debit,Mesa,Online,26,Student,108,1,303.68,2
1036.66,Debit,San Antonio,Branch,58,Doctor,144,1,5541.57,4
124.72,Debit,Oklahoma City,Branch,33,Engineer,105,1,6309.8,3
302.45,Credit,San Antonio,Branch,78,Retired,40,1,5133.61,1
208.04,Debit,Louisville,Online,47,Engineer,273,1,9344.98,0
5.77,Credit,Los Angeles,Branch,23,Student,254,1,1117.97,0
381.33,Debit,Albuquerque,ATM,56,Doctor,75,1,11835.35,3
16.16,Debit,Milwaukee,ATM,50,Doctor,124,1,14401.17,3
486.08,Debit,Oklahoma City,Online,18,Student,68,1,1748.69,2
336.39,Debit,San Antonio,Branch,21,Student,18,1,1000.46,2
997.43,Debit,Seattle,Online,69,Doctor,118,1,6810.05,4
234.57,Debit,Chicago,Online,23,Student,120,1,263.98,2
6.0,Debit,Chicago,Online,30,Doctor,246,1,5442.76,0
1049.92,Debit,Detroit,ATM,80,Retired,21,1,2037.85,4
227.14,Debit,Charlotte,ATM,18,Student,294,1,341.94,0
233.74,Credit,Oklahoma City,Online,66,Retired,17,1,1066.59,1
113.02,Credit,Jacksonville,Branch,69,Retired,166,1,6077.96,1
45.85,Debit,Los Angeles,ATM,20,Student,92,1,1659.15,2
973.39,Debit,Sacramento,Branch,77,Retired,296,1,2042.22,4
514.95,Debit,New York,Online,41,Doctor,142,5,421.93,4
415.5,Debit,Memphis,ATM,66,Doctor,141,1,10113.66,3
265.76,Debit,Philadelphia,Online,54,Retired,92,1,4446.17,1
69.4,Debit,Virginia Beach,Online,80,Retired,113,1,6452.77,1
332.93,Credit,Albuquerque,Branch,35,Engineer,293,1,2788.2,0
267.9,Debit,San Antonio,Online,20,Student,160,1,596.16,2
496.03,Debit,San Francisco,Branch,61,Doctor,265,1,12904.66,0
376.26,Debit,Tucson,ATM,37,Engineer,245,1,9062.4,0
83.02,Credit,Seattle,Online,36,Engineer,171,1,9009.56,3
93.26,Credit,New York,Online,20,Student,72,1,1152.2,2
803.37,Credit,Memphis,Branch,68,Doctor,129,1,12168.37,4
35.76,Debit,Charlotte,Branch,23,Student,122,1,611.86,2
28.53,Debit,Washington,Online,62,Doctor,99,1,8670.53,1
139.53,Credit,Louisville,Online,53,Doctor,177,1,10098.86,3
307.57,Debit,Detroit,Branch,33,Doctor,285,1,5307.74,0
60.65,Credit,Tucson,Branch,56,Retired,53,1,1047.28,1
74.86,Debit,Nashville,Branch,70,Doctor,125,1,6921.48,1
117.97,Debit,Kansas City,Branch,51,Retired,137,1,1475.46,1
231.91,Debit,Memphis,ATM,34,Engineer,165,1,112.76,2
126.21,Debit,Baltimore,Branch,75,Retired,268,1,5669.66,0
506.28,Credit,Chicago,Online,53,Retired,162,2,1309.95,4
304.35,Debit,Houston,Branch,31,Engineer,36,1,4057.1,2
281.85,Debit,Detroit,ATM,22,Student,109,1,1585.98,2
777.88,Debit,Houston,Branch,31,Engineer,17,1,6825.55,4
119.18,Debit,Los Angeles,Branch,56,Retired,96,1,5516.5,1
177.19,Debit,Chicago,Online,76,Retired,43,1,5343.3,1
260.88,Debit,Denver,Branch,22,Student,36,1,903.05,2
169.47,Debit,Chicago,Online,24,Student,19,1,1806.16,2
73.23,Debit,Portland,Branch,26,Student,14,1,787.74,2
1362.55,Debit,El Paso,ATM,29,Engineer,106,1,2429.68,4
792.57,Debit,Baltimore,ATM,19,Student,164,1,770.37,4
237.06,Debit,Phoenix,Online,71,Retired,46,1,1182.77,1
34.17,Credit,Philadelphia,Online,54,Engineer,54,1,726.55,1
740.25,Debit,Philadelphia,Online,41,Doctor,123,1,14464.3,4
453.54,Debit,Albuquerque,ATM,58,Doctor,82,1,12046.3,3
300.47,Debit,Jacksonville,Branch,73,Retired,100,1,7885.64,1
110.93,Credit,Virginia Beach,Branch,19,Student,201,1,1952.35,2
201.69,Debit,Las Vegas,ATM,59,Doctor,299,1,7328.52,0
399.21,Debit,Portland,ATM,59,Engineer,109,1,3210.39,1
1041.88,Debit,Jacksonville,Online,78,Retired,57,1,5726.2,4
630.36,Debit,Mesa,ATM,62,Retired,52,1,1363.65,4
10.94,Credit,Philadelphia,ATM,60,Engineer,245,1,1241.99,0
215.9,Debit,Los Angeles,ATM,38,Doctor,235,1,7873.28,0
1422.55,Debit,Washington,Branch,79,Retired,165,1,5674.32,4
226.37,Credit,Louisville,Branch,49,Doctor,141,1,9840.04,3
444.89,Credit,Las Vegas,Branch,43,Doctor,101,1,10328.23,3
280.57,Credit,Virginia Beach,Online,25,Student,24,1,293.24,2
488.54,Debit,Jacksonville,Branch,52,Engineer,132,1,7486.63,4
3.3,Credit,Los Angeles,Branch,50,Doctor,131,1,11385.37,3
199.39,Debit,Colorado Springs,Branch,69,Retired,165,1,7264.79,1
20.36,Debit,Tucson,Branch,62,Retired,75,1,2762.48,1
113.64,Debit,Detroit,Online,62,Retired,32,1,6675.03,1
493.11,Debit,Colorado Springs,Branch,53,Retired,236,1,7432.99,0
307.41,Debit,Los Angeles,ATM,19,Student,14,1,1057.0,2
11.18,Debit,Atlanta,Online,43,Doctor,161,1,5956.89,0
313.82,Debit,Tucson,Branch,59,Engineer,151,1,7261.59,1
51.0,Debit,Seattle,Branch,64,Retired,107,1,4943.16,1
140.98,Debit,Memphis,Branch,60,Engineer,100,1,8127.48,1
288.04,Debit,Denver,ATM,68,Retired,63,1,1748.02,1
800.55,Debit,Oklahoma City,ATM,31,Engineer,108,1,9660.22,4
485.54,Debit,Houston,ATM,46,Engineer,143,1,6371.51,4
521.15,Debit,Kansas City,ATM,54,Doctor,214,1,9442.47,0
321.79,Credit,Raleigh,ATM,63,Retired,61,1,5959.2,1
304.93,Debit,Portland,ATM,65,Doctor,158,1,13531.22,3
432.08,Debit,El Paso,ATM,40,Doctor,145,1,11500.62,3
694.2,Debit,Milwaukee,ATM,61,Retired,72,1,1389.37,4
116.86,Debit,Louisville,ATM,55,Engineer,171,1,6706.56,0
386.81,Credit,Detroit,Online,57,Doctor,149,1,7175.29,1
74.88,Debit,Atlanta,ATM,25,Student,202,1,420.67,2
195.76,Debit,Philadelphia,Branch,75,Retired,99,1,7323.53,1
134.7,Debit,Fort Worth,ATM,50,Doctor,106,1,8395.85,3
890.24,Credit,Las Vegas,Online,33,Engineer,161,1,5140.93,4
361.27,Debit,Omaha,ATM,63,Doctor,180,1,7945.57,0
131.56,Debit,Charlotte,Branch,44,Doctor,42,1,5873.54,1
485.51,Credit,Milwaukee,Online,76,Retired,37,1,3074.45,1
547.87,Debit,Columbus,ATM,64,Retired,131,1,6155.76,4
457.3,Debit,Virginia Beach,Online,28,Engineer,15,1,8318.29,3
506.24,Debit,Chicago,ATM,58,Engineer,64,1,230.09,1
486.59,Debit,Indianapolis,Branch,57,Retired,119,1,2513.56,4
163.68,Debit,San Diego,Branch,41,Doctor,292,1,10090.05,0
581.65,Debit,Boston,ATM,22,Student,176,1,480.19,2
52.01,Debit,Mesa,ATM,48,Doctor,85,1,1120.88,1
630.24,Debit,Boston,ATM,21,Student,62,1,370.81,2
523.74,Debit,Oklahoma City,ATM,43,Doctor,159,1,13498.55,3
705.6,Debit,Phoenix,Branch,40,Doctor,124,3,14804.7,4
217.5,Credit,Denver,Branch,46,Engineer,35,1,3057.4,1
91.48,Debit,Fort Worth,ATM,51,Doctor,141,1,14942.78,3
5.25,Debit,San Jose,ATM,39,Doctor,49,1,14143.32,3
54.03,Credit,Milwaukee,ATM,56,Retired,161,1,6736.3,1
736.73,Debit,Memphis,Branch,48,Engineer,10,1,3313.07,4
368.91,Debit,Virginia Beach,Branch,54,Doctor,14,1,829.71,1
33.06,Credit,Fort Worth,Online,53,Retired,170,1,1540.87,0
66.5,Credit,Louisville,Online,32,Engineer,144,1,6820.23,3
177.08,Debit,Las Vegas,Online,35,Doctor,85,1,13475.14,3
588.54,Debit,Portland,Branch,32,Engineer,130,1,714.45,4
173.5,Debit,Nashville,ATM,21,Student,282,1,1306.91,0
78.33,Credit,Memphis,Online,56,Engineer,189,1,7255.33,0
40.66,Debit,Louisville,Branch,59,Retired,156,1,1153.84,1
97.22,Credit,Atlanta,Branch,77,Retired,55,1,6647.73,1
34.07,Debit,Philadelphia,Branch,22,Student,81,1,8709.77,3
492.06,Debit,Fresno,Online,23,Student,74,1,857.9,2
842.01,Credit,Virginia Beach,Online,53,Doctor,185,1,509.45,4
73.55,Debit,Atlanta,ATM,51,Engineer,158,1,2812.06,1
760.53,Debit,Phoenix,Online,57,Engineer,118,1,6179.91,4
273.08,Credit,Houston,Branch,26,Engineer,134,1,6609.3,2
371.69,Debit,San Francisco,Branch,67,Retired,143,1,3484.32,1
218.96,Debit,Seattle,ATM,18,Student,13,1,754.21,2
227.39,Debit,Atlanta,Online,18,Student,65,1,751.09,2
237.99,Credit,Kansas City,Branch,39,Doctor,86,1,8510.09,3
186.6,Debit,Washington,Online,58,Doctor,13,1,1508.72,1
341.15,Debit,San Jose,Online,18,Student,148,1,511.37,2
434.58,Debit,Memphis,ATM,59,Doctor,215,1,12648.32,3
312.88,Credit,Portland,Branch,54,Engineer,44,1,233.21,1
75.15,Debit,Boston,ATM,23,Student,154,1,1092.92,2
23.3,Debit,Los Angeles,ATM,59,Engineer,161,1,6711.15,1
47.38,Credit,Seattle,Online,25,Student,61,1,459.37,2
512.81,Debit,Sacramento,Branch,79,Retired,30,1,6994.34,1
488.15,Debit,Louisville,Branch,43,Engineer,168,1,7071.09,4
12.82,Debit,Fort Worth,ATM,44,Engineer,156,1,9045.19,3
66.9,Credit,Charlotte,Online,79,Retired,129,4,5238.71,1
535.91,Debit,Las Vegas,Online,43,Engineer,22,1,9642.12,3
270.72,Credit,Washington,Online,26,Engineer,53,1,6263.96,2
97.98,Debit,Denver,Branch,72,Retired,18,1,7460.33,1
196.08,Debit,San Francisco,Online,61,Retired,98,1,4233.82,1
251.18,Debit,San Jose,ATM,42,Engineer,246,1,8303.9,0
44.52,Debit,El Paso,Online,28,Student,205,1,314.28,0
178.87,Debit,Baltimore,Online,35,Doctor,180,1,5241.23,0
1176.28,Credit,Kansas City,ATM,54,Engineer,174,5,323.69,4
386.68,Debit,New York,Branch,46,Doctor,128,1,6863.06,3
167.14,Debit,Denver,Online,76,Retired,20,1,3877.73,1
345.22,Debit,Fresno,Branch,69,Retired,253,1,4046.58,0
74.85,Debit,Raleigh,ATM,72,Retired,117,1,2409.73,1
671.73,Debit,Washington,Branch,58,Engineer,54,1,5211.88,4
255.04,Debit,Seattle,ATM,45,Engineer,152,1,6217.86,0
45.77,Debit,Philadelphia,Online,25,Student,109,1,5978.12,2
329.69,Credit,San Antonio,Online,26,Student,66,1,1671.66,2
362.04,Credit,Philadelphia,Branch,58,Doctor,198,2,8421.88,0
11.92,Debit,San Diego,Branch,53,Doctor,52,1,14611.9,3
47.42,Debit,San Diego,ATM,64,Doctor,28,1,8253.52,1
35.99,Debit,Miami,Branch,63,Retired,129,1,4489.79,1
151.19,Credit,New York,Branch,37,Doctor,96,1,11903.82,3
242.62,Credit,San Francisco,Online,22,Student,234,1,483.02,0
48.72,Debit,Virginia Beach,Branch,21,Student,17,1,816.08,2
43.46,Debit,Boston,ATM,25,Student,80,1,578.06,2
1036.21,Debit,Omaha,Online,25,Student,126,1,477.3,4
443.79,Debit,Las Vegas,ATM,53,Retired,87,1,3133.85,1
365.14,Debit,Dallas,Online,68,Retired,57,1,5894.09,1
757.41,Debit,Los Angeles,ATM,22,Student,37,1,9532.42,4
20.54,Debit,Fort Worth,Branch,51,Engineer,72,1,5327.03,1
475.36,Debit,Phoenix,ATM,34,Engineer,105,1,2000.6,2
34.74,Debit,San Francisco,ATM,56,Retired,24,1,6827.57,1
689.54,Debit,Oklahoma City,Branch,27,Student,93,1,1633.76,4
211.18,Debit,Washington,ATM,73,Retired,90,1,4069.17,1
211.36,Credit,Fort Worth,Branch,51,Engineer,286,1,7943.47,0
744.41,Credit,Houston,Online,39,Engineer,107,1,8842.47,4
61.43,Debit,Phoenix,Online,24,Student,170,1,1882.77,2
167.44,Debit,Mesa,Branch,37,Doctor,82,1,12526.71,3
361.46,Debit,Nashville,Online,21,Student,83,1,4737.84,2
378.85,Debit,Virginia Beach,Branch,78,Retired,126,1,2300.53,1
241.11,Debit,Columbus,Branch,30,Doctor,55,1,12385.05,3
131.93,Credit,Fort Worth,Branch,31,Engineer,13,1,4547.06,2
20.28,Debit,Oklahoma City,Online,36,Engineer,213,1,2047.83,0
415.88,Debit,San Diego,Branch,70,Doctor,170,1,10008.33,3
49.99,Debit,Omaha,ATM,62,Retired,139,1,2299.64,1
1221.65,Debit,Denver,Online,27,Student,153,1,243.92,4
100.66,Debit,Dallas,Branch,50,Doctor,144,1,14473.33,3
485.54,Debit,Louisville,Online,19,Student,148,1,1533.32,2
321.15,Debit,Los Angeles,Branch,46,Doctor,179,1,7005.05,0
711.3,Debit,San Jose,Branch,21,Student,51,1,955.4,4
12.23,Debit,Houston,ATM,42,Engineer,139,1,7844.88,3
350.94,Debit,Colorado Springs,ATM,20,Student,64,1,221.56,2
301.85,Debit,Columbus,Online,54,Engineer,25,1,6586.19,1
29.34,Debit,Louisville,Online,65,Retired,30,1,3944.82,1
231.71,Debit,Raleigh,Branch,27,Student,148,1,1127.98,2
179.43,Debit,Oklahoma City,ATM,58,Retired,244,1,2626.63,0
36.71,Debit,Jacksonville,Branch,48,Doctor,55,1,6459.38,1
138.12,Credit,Los Angeles,Branch,53,Doctor,281,1,1649.69,0
233.24,Debit,Louisville,ATM,33,Engineer,72,1,6939.23,3
609.14,Debit,Tucson,ATM,39,Engineer,177,1,9033.87,4
436.64,Debit,Los Angeles,Branch,31,Doctor,111,1,14365.18,3
870.43,Debit,Los Angeles,Branch,29,Doctor,55,1,10115.18,4
354.4,Debit,Chicago,ATM,74,Retired,128,1,7358.65,1
22.63,Debit,Kansas City,Online,53,Engineer,112,1,4438.03,1
182.19,Debit,Mesa,Branch,26,Student,53,1,1176.1,2
126.81,Debit,Philadelphia,Branch,26,Engineer,290,1,5427.98,0
288.17,Debit,Virginia Beach,Online,37,Engineer,50,1,3653.11,2
118.77,Debit,Atlanta,Branch,55,Engineer,123,1,2104.82,1
651.82,Debit,Indianapolis,ATM,21,Student,166,1,1802.77,4
66.65,Debit,Detroit,ATM,37,Engineer,33,1,3559.96,2
98.53,Debit,Denver,Branch,69,Retired,166,1,3564.8,1
138.95,Debit,Washington,Online,71,Retired,30,1,6752.92,1
33.89,Debit,Nashville,Branch,26,Student,177,1,1444.75,2
23.71,Debit,Atlanta,Branch,58,Doctor,164,1,10788.89,3
1830.0,Debit,San Antonio,Online,55,Engineer,238,1,2235.7,4
26.06,Debit,San Diego,ATM,65,Doctor,283,1,12893.63,0
17.07,Debit,Los Angeles,Branch,27,Engineer,44,1,2798.15,2
703.89,Debit,San Antonio,Online,46,Engineer,62,1,3583.67,4
1271.9,Debit,Houston,ATM,47,Engineer,155,1,2120.8,4
26.55,Debit,Houston,ATM,77,Retired,228,1,3085.38,0
147.4,Debit,San Jose,Branch,42,Engineer,259,1,6797.71,0
202.11,Debit,Memphis,ATM,27,Student,18,1,746.47,2
308.42,Debit,Nashville,Branch,75,Retired,39,1,5427.81,1
11.18,Debit,Miami,ATM,53,Engineer,144,1,7467.3,3
294.15,Debit,Fresno,Online,38,Engineer,136,1,6362.16,3
29.58,Debit,Colorado Springs,Branch,54,Engineer,121,1,8345.26,3
139.45,Debit,Boston,Online,27,Student,31,1,1305.76,2
432.63,Debit,Colorado Springs,ATM,29,Doctor,137,1,13648.36,3
131.43,Debit,Charlotte,Online,43,Doctor,65,1,1337.5,2
516.72,Debit,Mesa,ATM,42,Engineer,128,1,2015.69,4
121.82,Debit,Colorado Springs,Online,69,Doctor,123,3,8354.54,1
374.5,Credit,San Francisco,Branch,26,Student,178,1,1671.51,2
166.13,Debit,Omaha,ATM,68,Doctor,227,1,11822.53,0
626.9,Debit,Chicago,ATM,23,Student,146,1,587.11,4
466.85,Debit,Austin,Branch,56,Retired,165,1,5422.53,4
788.84,Debit,Phoenix,Online,58,Retired,231,1,1913.73,4
873.65,Credit,Oklahoma City,Online,37,Doctor,59,1,12139.83,4
525.28,Debit,Colorado Springs,ATM,69,Retired,134,1,4693.6,1
110.17,Debit,Raleigh,ATM,30,Engineer,137,1,464.2,2
632.69,Debit,Denver,ATM,80,Retired,76,1,4363.74,4
124.35,Debit,Oklahoma City,ATM,72,Retired,90,1,3319.76,1
43.85,Debit,Fresno,ATM,62,Retired,122,1,4356.98,1
283.81,Debit,San Diego,Branch,28,Student,29,1,1519.35,2
168.53,Debit,San Francisco,ATM,71,Retired,112,1,5962.58,1
218.59,Credit,Denver,Branch,40,Engineer,123,1,6699.23,3
132.84,Debit,Oklahoma City,ATM,21,Student,143,1,822.73,2
157.37,Credit,Dallas,Branch,42,Doctor,289,1,13964.31,0
144.77,Debit,Albuquerque,Online,20,Student,159,1,867.32,2
643.22,Debit,Atlanta,ATM,64,Doctor,93,1,1035.86,4
1392.54,Debit,El Paso,Branch,41,Doctor,297,1,13347.69,4
208.07,Debit,Oklahoma City,Online,32,Doctor,36,1,8478.9,3
94.3,Debit,Phoenix,Branch,57,Doctor,57,1,11088.95,3
295.5,Debit,Mesa,ATM,59,Retired,36,1,6280.66,1
30.23,Debit,Austin,ATM,44,Doctor,99,1,481.13,2
112.05,Credit,Phoenix,ATM,26,Student,159,1,1122.88,2
180.24,Debit,Phoenix,Branch,58,Engineer,144,1,8431.23,3
13.71,Credit,Denver,Online,38,Engineer,148,1,8342.79,3
96.54,Debit,New York,Branch,58,Retired,95,1,7182.22,1
79.35,Debit,Los Angeles,Online,67,Retired,70,1,1692.15,1
101.04,Debit,San Antonio,ATM,27,Student,160,1,1695.57,2
74.42,Debit,El Paso,Online,49,Engineer,68,1,6264.21,1
39.66,Debit,Virginia Beach,Branch,52,Engineer,169,1,8497.34,3
99.36,Debit,Seattle,ATM,40,Doctor,46,1,1272.12,2
123.85,Debit,Las Vegas,Online,56,Engineer,244,1,3959.62,0
426.93,Debit,Omaha,ATM,19,Student,248,1,476.19,0
133.73,Credit,San Jose,Online,25,Student,123,1,1872.22,2
222.39,Debit,Virginia Beach,Online,49,Engineer,73,1,3117.39,1
215.94,Credit,Virginia Beach,Online,22,Student,140,1,1841.69,2
6.3,Debit,Columbus,Branch,80,Retired,283,5,7697.68,0
826.23,Debit,Colorado Springs,ATM,29,Doctor,209,1,7580.59,4
416.37,Debit,Columbus,Online,35,Engineer,67,1,7936.91,3
131.46,Debit,Charlotte,Branch,67,Retired,258,1,6642.33,0
202.86,Credit,Memphis,Branch,61,Doctor,149,1,7642.25,1
268.39,Debit,Miami,ATM,26,Student,171,1,136.74,2
194.85,Debit,Jacksonville,Online,23,Student,130,4,319.84,2
